time,x,y,z,Vx,Vy,Vz
6320.0,7191601.863917084,3217990.0178601593,1182214.367670229,-668.0280033155185,320.9207691985058,6809.373788002867
6330.0,7184638.426150804,3221072.441032422,1250260.6496767795,-724.6314152426738,295.5683279737773,6799.796522482918
6340.0,7177109.803317156,3223901.4762448585,1318208.5807952078,-781.064516956768,270.2434339380138,6789.704061446153
6350.0,7169017.713455012,3226477.406645517,1386053.0226047875,-837.3243269306229,244.94761982326975,6779.099111999497
6360.0,7160363.904244696,3228800.5306350775,1453788.863761801,-893.4078983197489,219.68240345397743,6767.984382376405
6370.0,7151150.152663605,3230871.1617186763,1521411.0200089845,-949.3123184719403,194.44928792674042,6756.362581574916
6380.0,7141378.264646735,3232689.628359526,1588914.4341814152,-1005.0347084385882,169.24976179047493,6744.236419007896
6390.0,7131050.074752077,3234256.2738343417,1656294.076208961,-1060.5722224878386,144.08529922682808,6731.608604165289
6400.0,7120167.4458308825,3235571.4560905714,1723544.9431154113,-1115.9220476197165,118.9573602308036,6718.48184628816
6410.0,7108732.268702751,3236635.5476054335,1790662.0590144077,-1171.0814030833299,93.86739079152753,6704.858854054377
6420.0,7096746.461835551,3237448.935246761,1857640.4751022873,-1226.0475398962665,68.81682307308934,6690.742335275703
6430.0,7084211.971030127,3238012.020135657,1924475.2696479547,-1280.8177403662896,43.807075595395816,6676.13499660615
6440.0,7071130.76910978,3238325.217510955,1991161.5479798922,-1335.3893176154327,18.8395534149772,6661.0395432613805
6450.0,7057504.85561449,3238388.9565954907,2057694.4424704185,-1389.7596151065916,-6.084351694312794,6645.458678748997
6460.0,7043336.256499869,3238203.6804641774,2124069.1125173043,-1443.9260061727055,-30.96326106075914,6629.395104609516
6470.0,7028627.0238408,3237769.845913886,2190280.7445228505,-1497.8858935486162,-55.79580893446426,6612.851520167873
6480.0,7013379.235539748,3237087.923335128,2256324.551870533,-1551.6367089056891,-80.58064230729565,6595.830622295257
6490.0,6997594.995039712,3236158.3965855357,2322195.774899316,-1605.1759123892764,-105.31642073315251,6578.33510518112
6500.0,6981276.431041782,3234981.76286514,2387889.680875738,-1658.5009921590984,-130.00181614860026,6560.367660115176
6510.0,6964425.697227283,3233558.5325934393,2453401.563963864,-1711.609463932616,-154.63551269391905,6541.930975279223
6520.0,6947044.971984469,3231889.229288254,2518726.7451932062,-1764.4988705314638,-179.21620653461179,6523.027735548624
6530.0,6929136.458139734,3229974.389446365,2583860.5724247065,-1817.166781431006,-203.7426056834143,6503.66062230327
6540.0,6910702.382693316,3227814.56242593,2648798.4203148764,-1869.6107923130828,-228.21342982284935,6483.832313247875
6550.0,6891744.99655945,3225410.310330669,2713535.6902781837,-1921.8285246219991,-252.6274101283645,6463.545482241428
6560.0,6872266.574310958,3222762.2078958172,2778067.810447781,-1973.817625123817,-276.9832890920917,6442.802799135651
6570.0,6852269.4139282135,3219870.842375838,2842390.2356346613,-2025.5757654689994,-301.2798203472657,6421.606929622308
6580.0,6831755.836552474,3216736.813433886,2906498.4472853327,-2077.1006417584586,-325.51576849333634,6399.960535089193
6590.0,6810728.186243529,3213360.733033015,2970387.9534380934,-2128.389974113052,-349.6899089218084,6377.866272484673
6600.0,6789188.829741644,3209743.2253291267,3034054.288677994,-2179.441506246573,-373.8010276428415,6355.326794190604
6610.0,6767140.156233744,3205884.926565648,3097493.0140905743,-2230.253005042273,-397.84792111264113,6332.344747903503
6620.0,6744584.577123827,3201786.48496993,3160699.7172144465,-2280.822260132956,-421.82939606167,6308.922776523802
6630.0,6721524.525807552,3197448.5606513587,3223670.0119928154,-2331.147083484686,-445.74426932370886,6285.063518053062
6640.0,6697962.457450971,3192871.825501177,3286399.5387240085,-2381.2253089841283,-469.5913676657929,6260.769605498996
6650.0,6673900.848773372,3188056.9630939947,3348883.964011094,-2431.0547920295717,-493.3695276190508,6236.043666788165
6660.0,6649342.197834193,3183004.6685909913,3411118.9807106643,-2480.633409125645,-517.0775953104702,6210.888324686212
6670.0,6624289.023823967,3177715.6486447956,3473100.3078808594,-2529.959057481769,-540.7144262956134,6185.306196725496
6680.0,6598743.86685927,3172190.6213060305,3534823.690728702,-2579.0296546143572,-564.2788853923068,6159.2998951399995
6690.0,6572709.287781621,3166430.315931519,3596284.900556819,-2627.843137952797,-587.7698465153239,6132.8720268073785
6700.0,6546187.867960308,3160435.473094136,3657479.7347096163,-2676.3974644492246,-611.1861925120835,6106.02519319803
6710.0,6519182.209099094,3154206.8444943004,3718404.016518981,-2724.6906101921204,-634.5268149993822,6078.76199033105
6720.0,6491694.933046776,3147745.192873092,3779053.595249578,-2772.7205700237364,-657.7906142011798,6051.085008736955
6730.0,6463728.681611533,3141051.2919269875,3839424.346043802,-2820.4853571613735,-680.9764987874553,6022.996833427067
6740.0,6435286.116379064,3134125.926224201,3899512.169866463,-2867.9830028225265,-704.0833857141496,5994.500043869415
6750.0,6406369.918534435,3126969.89112262,3959312.9934492595,-2915.211555853903,-727.1102000642117,5965.597213971068
6760.0,6376982.788687636,3119583.9926893255,4018822.7692351043,-2962.1690823643335,-750.0558748897627,5936.290912066765
6770.0,6347127.446702768,3111969.047621685,4078037.4753223727,-3008.8536653615793,-772.9193510553926,5906.583700913733
6780.0,6316806.6315308595,3104125.883170007,4136953.1154091256,-3055.2634043930493,-795.6995770826022,5876.47813769261
6790.0,6286023.10104625,3096055.337061743,4195565.718737374,-3101.3964151904315,-818.3955089954052,5845.976774014328
6800.0,6254779.631886507,3087758.2574272314,4253871.34003744,-3147.2508293182473,-841.0061101670992,5815.082155932879
6810.0,6223079.019295838,3079235.5027269656,4311866.059472476,-3192.824793826332,-863.5303511682208,5783.7968239638585
6820.0,6190924.076971956,3070487.941680376,4369545.982583197,-3238.116470906249,-885.9672096156925,5752.12331310868
6830.0,6158317.63691637,3061516.453196116,4426907.240232883,-3283.1240375516372,-908.3156700231737,5720.064152884367
6840.0,6125262.549288043,3052321.926303837,4483945.988552707,-3327.8456852224977,-930.5747236526244,5687.621867358828
6850.0,6091761.682260387,3042905.260087445,4540658.408887443,-3372.2796195134197,-952.7433683670909,5654.79897519152
6860.0,6057817.921881565,3033267.363619817,4597040.707741606,-3416.4240598257475,-974.8206084847224,5621.597989679411
6870.0,6023434.171938044,3023409.155898978,4653089.11672608,-3460.2772390436876,-996.8054546340259,5588.021418808149
6880.0,5988613.353821369,3013331.5657857135,4708799.892505281,-3503.8374032143565,-1018.6969236103677,5554.071765308361
6890.0,5953358.406398118,3003035.5319426153,4764169.316744909,-3547.102811231768,-1040.4940382337281,5519.75152671698
6900.0,5917672.2858829945,2992522.0027745394,4819193.69606034,-3590.0717345247585,-1062.1958272077165,5485.063195443531
6910.0,5881557.965715028,2981791.9363704706,4873869.361965703,-3632.7424567488474,-1083.8013249798535,5450.009258841293
6920.0,5845018.436436827,2970846.300446776,4928192.670823691,-3675.1132734820317,-1105.3095716031237,5414.592199283252
6930.0,5808056.70557686,2959686.0722918385,4982160.003796163,-3717.1824919245087,-1126.719612598809,5378.814494242776
6940.0,5770675.79753472,2948312.2387120523,5035767.7667955635,-3758.9484306023287,-1148.030498820603,5342.678616378932
6950.0,5732878.753469329,2936725.795979175,5089012.3904372305,-3800.4094190749684,-1169.2412863200161,5306.187033626368
6960.0,5694668.631190052,2924927.749779015,5141890.329992618,-3841.563797646824,-1190.3510362130712,5269.342209289703
6970.0,5656048.505050673,2912919.1151614487,5194398.065343487,-3882.4099170826194,-1211.3588145482984,5232.146602142336
6980.0,5617021.465846198,2900700.9164917506,5246532.100937102,-3922.946138326727,-1232.2636921760306,5194.602666529623
6990.0,5577590.620712444,2888274.187403222,5298288.965742487,-3963.170832226392,-1253.0647446190055,5156.71285247635
7000.0,5537759.093028383,2875639.970751109,5349665.2132077785,-4003.08237925886,-1273.7610519442765,5118.479605798429
7010.0,5497530.022321185,2862799.3185677947,5400657.4212187035,-4042.6791692624,-1294.3516986364355,5079.905368218771
