time,x,y,z,Vx,Vy,Vz
52060.0,6231369.332271355,3048601.206573706,4343000.464153579,-3228.793782474477,-864.1195326280675,5750.111458090729
52070.0,6198855.431800602,3039849.3755097287,4400342.810360457,-3273.9392823666103,-886.2323298669783,5718.293638200239
52080.0,6165891.49025209,3030876.8486480634,4457365.05813516,-3318.8016949922703,-908.2585259869261,5686.092184730328
52090.0,6132480.347566536,3021684.496974687,4514063.383525487,-3363.3792090362663,-930.197127088067,5653.509573526423
52100.0,6098624.8617294915,3012273.2013830855,4570433.987311572,-3407.6700267927977,-952.0471455445562,5620.548275217679
52110.0,6064327.908636875,3002643.85261223,4626473.094953948,-3451.6723638399058,-973.8075998613484,5587.210755262713
52120.0,6029592.381963751,2992797.3511859803,4682176.956542091,-3495.384448717602,-995.4775145323794,5553.499474000712
52130.0,5994421.193036298,2982734.607353898,4737541.846743508,-3538.804522609563,-1017.0559198997013,5519.416886707788
52140.0,5958817.2707069535,2972456.5410334673,4792564.064753401,-3581.930839029014,-1038.5418520139228,5484.965443658184
52150.0,5922783.561232667,2961964.0817537,4847239.934244981,-3624.7616635080512,-1059.934352495558,5450.147590190686
52160.0,5886323.028156257,2951258.1686001257,4901565.803320466,-3667.295273290893,-1081.2324683979466,5414.965766779955
52170.0,5849438.652190801,2940339.7501611453,4955538.044462812,-3709.5299570307634,-1102.4352520709617,5379.422409112633
52180.0,5812133.431107046,2929209.78447574,5009153.05448824,-3751.4640144907394,-1123.541761026131,5343.519948168285
52190.0,5774410.379623796,2917869.2389825257,5062407.254499584,-3793.0957562481512,-1144.5510578028789,5307.260810305092
52200.0,5736272.529301224,2906319.090470137,5115297.0898405295,-3834.4235034029166,-1165.462209835948,5270.647417350137
52210.0,5697722.928437094,2894560.325028933,5167819.030050768,-3875.4455872896333,-1186.2742893240418,5233.682186694277
52220.0,5658764.641965835,2882593.938004009,5219969.5688221315,-3916.1603491933647,-1206.986373099659,5196.367531391511
52230.0,5619400.751360444,2870420.933949502,5271745.22395574,-3956.566140069289,-1227.5975425002707,5158.705860262874
52240.0,5579634.35453717,2858042.3265841845,5323142.537320208,-3996.66132026594,-1248.106883240471,5120.699578004674
52250.0,5539468.565762947,2845459.138748324,5374158.074810954,-4036.4442592524706,-1268.5134852855722,5082.35108530095
52260.0,5498906.515565538,2832672.4023618037,5424788.426310663,-4075.913335349621,-1288.8164427262382,5043.662778940317
52270.0,5457951.350646348,2819683.15838349,5475030.205650932,-4115.066935464211,-1309.0148536546483,5004.63705193707
52280.0,5416606.233795874,2806492.456771834,5524880.050575147,-4153.903454827704,-1329.107820041508,4965.276293656236
52290.0,5374874.343811752,2793101.356446692,5574334.622702637,-4192.421296738311,-1349.094447614636,4925.582889942942
52300.0,5332758.8754193615,2779510.9252523594,5623390.607494133,-4230.6188723072055,-1368.9738457385672,4885.55922325553
52310.0,5290263.03919495,2765722.239921799,5672044.71421859,-4268.494600207921,-1388.7451272956782,4845.207672803158
52320.0,5247390.061491246,2751736.386042052,5720293.6759213945,-4306.046906430098,-1408.4074085681377,4804.530614686713
52330.0,5204143.184365515,2737554.458020825,5768134.249394001,-4343.274224036692,-1427.959809121616,4763.530422044106
52340.0,5160525.665510022,2723177.5590542313,5815563.2151450515,-4380.1749929248535,-1447.4014516898765,4722.209465199271
52350.0,5116540.778184874,2708606.8010956817,5862577.377372988,-4416.747659590899,-1466.731462060771,4680.570111814786
52360.0,5072191.811153182,2693843.3048259076,5909173.563940224,-4452.990676898652,-1485.9489689636112,4638.614727048555
52370.0,5027482.068618533,2678888.1996241054,5955348.626348897,-4488.902503852004,-1505.0531039576176,4596.345673713874
