time,0,1,2,3,4,5
11162.0,6130955.803278803,304116.7130014289,2038601.1868995996,-2181.945935436101,4958.506405579244,5809.093715711623
11163.0,6128769.35367917,309074.9704658539,2044408.7423902343,-2190.9527043704093,4958.007301030021,5806.015834791217
11164.0,6126573.898991179,314032.72515947476,2050213.2157088914,-2199.956109955666,4957.500864439329,5802.929372999725
11165.0,6124369.442584764,318989.96975165774,2056014.5982784315,-2208.9561390236536,4956.987098625243,5799.834337802503
11166.0,6122155.98784302,323946.69691459456,2061812.881529187,-2217.9527784256356,4956.466006420229,5796.730736678208
11167.0,6119933.538162178,328902.8993233164,2067608.0568989757,-2226.946015032289,4955.937590670964,5793.6185771185565
11168.0,6117702.096951591,333858.5696557082,2073400.1158331134,-2235.935835733626,4955.401854238125,5790.497866628052
11169.0,6115461.66763371,338813.70059252257,2079189.0497844268,-2244.9222274389103,4954.858799996182,5787.368612723707
11170.0,6113212.25364407,343768.28481739317,2084974.8502132655,-2253.9051770765586,4954.308430833163,5784.230822934749
11171.0,6110953.858431265,348722.31501684856,2090757.5085875147,-2262.8846715940376,4953.750749650424,5781.084504802314
11172.0,6108686.485456933,353675.7838803252,2096537.0163826062,-2271.86069795775,4953.1857593624045,5777.929665879127
11173.0,6106410.138195739,358628.68410018034,2102313.3650815305,-2280.8332431529147,4952.613462896369,5774.766313729178
11174.0,6104124.820135349,363581.00837170484,2108086.546174847,-2289.80229418344,4952.033863192149,5771.594455927383
11175.0,6101830.534776419,368532.7493931356,2113856.551160696,-2298.767838071788,4951.446963201869,5768.414100059243
11176.0,6099527.285632573,373483.8998656676,2119623.371544808,-2307.729861858833,4950.852765889681,5765.225253720491
11177.0,6097215.076230383,378434.452493466,2125386.998840515,-2316.6883526037163,4950.251274231478,5762.027924516742
11178.0,6094893.910109354,383384.3999836774,2131147.4245687583,-2325.643297383695,4949.642491214617,5758.822120063127
11179.0,6092563.790821906,388333.7350464415,2136904.6402580994,-2334.5946832939835,4949.026419837626,5755.607847983936
11180.0,6090224.721933353,393282.450394902,2142658.6374447285,-2343.542497447595,4948.403063109925,5752.385115912253
11181.0,6087876.7070218865,398230.53874521743,2148409.407672473,-2352.4867269751758,4947.772424051529,5749.153931489589
11182.0,6085519.749678561,403177.9928165713,2154156.942492807,-2361.4273590248386,4947.134505692763,5745.914302365519
11183.0,6083153.853507275,408124.8053311826,2159901.2334648557,-2370.364380761993,4946.4893110739695,5742.6662361973185
11184.0,6080779.022124748,413070.9690143156,2165642.272155408,-2379.297779369173,4945.8368432452235,5739.409740649604
